Euclidean Distance for Fulton County-Georgia; 2013,,,,,,,,,,,,
Data downloaded on 21-February-2024,,,,,,,,,,,,
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,"Dentists: Rate per 100,000 (Rate)",Dentists: Number (Number) ,"Primary Care Physicians: Rate per 100,000 (Rate)",Primary Care Physicians: Number (Number) ,No Health Insurance (Percent) 
2013,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,9110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,2066,Copper River Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16.01918465
2013,2063,Chugach Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14.91501908
2013,6003,Alpine County,California,No Data,7.2,19.8,18.3,No Data,No Data,No Data,No Data,7.511210762
2013,5105,Perry County,Arkansas,No Data,7.3,27.6,21.4,No Data,No Data,19.36670863,2,9.797724399
2013,5101,Newton County,Arkansas,No Data,6.6,28,22.2,No Data,No Data,No Data,No Data,9.738041002
2013,5099,Nevada County,Arkansas,No Data,8.4,27.4,22,No Data,No Data,24.69440672,2,9.106802289
2013,5073,Lafayette County,Arkansas,No Data,7.8,25.8,21.7,No Data,No Data,30.32140691,2,13.33185939
2013,5025,Cleveland County,Arkansas,No Data,9,28.1,22.2,No Data,No Data,No Data,No Data,9.488309048
2013,5013,Calhoun County,Arkansas,No Data,7,24.4,22.6,No Data,No Data,19.55798944,1,11.74179188
2013,2164,Lake and Peninsula Borough,Alaska,No Data,8.3,27,22.3,No Data,No Data,No Data,No Data,21.30553037
2013,2105,Hoonah-Angoon Census Area,Alaska,No Data,6.8,26.2,18.6,No Data,No Data,No Data,No Data,16.54545455
2013,2068,Denali Borough,Alaska,No Data,6.2,23.6,16.2,No Data,No Data,No Data,No Data,13.51351351
