County_FIPS,County,State,Obesity-2019-Percentage,Primary Care Physicians: Rate per 100000-2019-Rate per 100,000
30079,Prairie County,Montana,21.7,0
31113,Logan County,Nebraska,21.7,0
37143,Perquimans County,North Carolina,21.7,14.85553
40025,Cimarron County,Oklahoma,21.7,No Data
41001,Baker County,Oregon,21.7,74.42322
47095,Lake County,Tennessee,21.7,No Data
48033,Borden County,Texas,21.7,0
48137,Edwards County,Texas,21.7,51.759829999999994
48147,Fannin County,Texas,21.7,19.710539999999998
48173,Glasscock County,Texas,21.7,0
48189,Hale County,Texas,21.7,32.928219999999996
48191,Hall County,Texas,21.7,No Data
48253,Jones County,Texas,21.7,29.87601
48437,Swisher County,Texas,21.7,13.51899
50007,Chittenden County,Vermont,21.7,186.84284
51103,Lancaster County,Virginia,21.7,47.15647
08083,Montezuma County,Colorado,21.8,103.12035
13287,Turner County,Georgia,21.8,12.523480000000001
13301,Warren County,Georgia,21.8,57.099349999999994
16013,Blaine County,Idaho,21.8,104.25263999999999
17139,Moultrie County,Illinois,21.8,34.48038
27081,Lincoln County,Minnesota,21.8,53.20092
37005,Alleghany County,North Carolina,21.8,107.74893999999999
37029,Camden County,North Carolina,21.8,9.20217
37173,Swain County,North Carolina,21.8,77.07938999999999
48003,Andrews County,Texas,21.8,37.42315
48093,Comanche County,Texas,21.8,51.33847
48095,Concho County,Texas,21.8,36.68379
48131,Duval County,Texas,21.8,No Data
48143,Erath County,Texas,21.8,56.20872
48207,Haskell County,Texas,21.8,53.022270000000006
48267,Kimble County,Texas,21.8,92.22965
48391,Refugio County,Texas,21.8,14.39263
51141,Patrick County,Virginia,21.8,28.39618
51580,Covington City,Virginia,21.8,54.17118
08047,Gilpin County,Colorado,21.9,32.035880000000006
08121,Washington County,Colorado,21.9,61.124689999999994
13249,Schley County,Georgia,21.9,No Data
16009,Benewah County,Idaho,21.9,43.019999999999996
17153,Pulaski County,Illinois,21.9,No Data
17185,Wabash County,Illinois,21.9,43.40278
26083,Keweenaw County,Michigan,21.9,No Data
47169,Trousdale County,Tennessee,21.9,26.586319999999997
48023,Baylor County,Texas,21.9,142.49074
48035,Bosque County,Texas,21.9,53.51887000000001
48043,Brewster County,Texas,21.9,86.92818
48045,Briscoe County,Texas,21.9,64.68305
48087,Collingsworth County,Texas,21.9,34.24658
48107,Crosby County,Texas,21.9,34.86143
48111,Dallam County,Texas,21.9,68.61534
48115,Dawson County,Texas,21.9,39.28347
48117,Deaf Smith County,Texas,21.9,10.783999999999999
48237,Jack County,Texas,21.9,44.767770000000006
48289,Leon County,Texas,21.9,No Data
48317,Martin County,Texas,21.9,17.328020000000002
48343,Morris County,Texas,21.9,16.144660000000002
48383,Reagan County,Texas,21.9,51.96155
