County_FIPS,County,State,Obesity-2019-Percentage,Limited Access to Healthy Foods-2019-Percent
08071,Las Animas County,Colorado,21.7,12.623612649
08113,San Miguel County,Colorado,21.7,2.0006181189
13257,Stephens County,Georgia,21.7,5.3368516615
13289,Twiggs County,Georgia,21.7,0.0315932198
29089,Howard County,Missouri,21.7,6.3180091393
30079,Prairie County,Montana,21.7,34.759358266
31113,Logan County,Nebraska,21.7,4.92632582
37143,Perquimans County,North Carolina,21.7,2.3066843759
40025,Cimarron County,Oklahoma,21.7,15.069564913
41001,Baker County,Oregon,21.7,14.506172946
47095,Lake County,Tennessee,21.7,0.0757407758
48033,Borden County,Texas,21.7,15.105740218
48137,Edwards County,Texas,21.7,10.931318858
48147,Fannin County,Texas,21.7,12.997029555
48173,Glasscock County,Texas,21.7,36.445793634
48189,Hale County,Texas,21.7,8.1452228936
48191,Hall County,Texas,21.7,13.008641607
48253,Jones County,Texas,21.7,11.838424495
48437,Swisher County,Texas,21.7,14.16448347
50007,Chittenden County,Vermont,21.7,2.4980935409
51103,Lancaster County,Virginia,21.7,2.1335689297
08083,Montezuma County,Colorado,21.8,7.3100420998
13287,Turner County,Georgia,21.8,8.3369065167
13301,Warren County,Georgia,21.8,1.2417276894
16013,Blaine County,Idaho,21.8,2.830154318
17139,Moultrie County,Illinois,21.8,0.6139706478
27081,Lincoln County,Minnesota,21.8,2.9255697742
37005,Alleghany County,North Carolina,21.8,1.9906552446
37029,Camden County,North Carolina,21.8,1.0496470926
37173,Swain County,North Carolina,21.8,1.5116342342
48003,Andrews County,Texas,21.8,8.2021834005
48093,Comanche County,Texas,21.8,7.935527217
48095,Concho County,Texas,21.8,12.046660244
48131,Duval County,Texas,21.8,13.911881586
48143,Erath County,Texas,21.8,18.115741597
48207,Haskell County,Texas,21.8,11.440102328
48267,Kimble County,Texas,21.8,8.4342470392
48391,Refugio County,Texas,21.8,8.7960669804
51141,Patrick County,Virginia,21.8,3.1404478613
51580,Covington City,Virginia,21.8,10.830561865
08047,Gilpin County,Colorado,21.9,No Data
08121,Washington County,Colorado,21.9,13.960275818
13249,Schley County,Georgia,21.9,0.2724761798
16009,Benewah County,Idaho,21.9,9.2419423693
17153,Pulaski County,Illinois,21.9,16.100428858
17185,Wabash County,Illinois,21.9,3.326522179
26083,Keweenaw County,Michigan,21.9,7.2424227437
47169,Trousdale County,Tennessee,21.9,No Data
48023,Baylor County,Texas,21.9,1.4413412789
48035,Bosque County,Texas,21.9,9.7418734429
48043,Brewster County,Texas,21.9,16.324018469
48045,Briscoe County,Texas,21.9,48.456992928
48087,Collingsworth County,Texas,21.9,2.8576031197
48107,Crosby County,Texas,21.9,2.3264371084
48111,Dallam County,Texas,21.9,17.595217917
48115,Dawson County,Texas,21.9,18.787279674
48117,Deaf Smith County,Texas,21.9,7.4327064163
48237,Jack County,Texas,21.9,15.822588379
48289,Leon County,Texas,21.9,8.0589618673
48317,Martin County,Texas,21.9,6.7659560688
48343,Morris County,Texas,21.9,0.8627184615
48383,Reagan County,Texas,21.9,1.5026969807
48421,Sherman County,Texas,21.9,9.5371473855
48461,Upton County,Texas,21.9,8.5644178762
48505,Zapata County,Texas,21.9,8.4227541159
51063,Floyd County,Virginia,21.9,9.3978672675
55029,Door County,Wisconsin,21.9,3.6443056602
06085,Santa Clara County,California,22,0.9662712389
06091,Sierra County,California,22,24.821463632
08007,Archuleta County,Colorado,22,10.708222627
08023,Costilla County,Colorado,22,57.965265569
08105,Rio Grande County,Colorado,22,5.0717374083
09001,Fairfield County,Connecticut,22,3.0183378694
13207,Monroe County,Georgia,22,1.4294162556
16017,Bonner County,Idaho,22,2.9258774978
20199,Wallace County,Kansas,22,8.4551141219
21171,Monroe County,Kentucky,22,1.7213453183
25025,Suffolk County,Massachusetts,22,0.209738281
28009,Benton County,Mississippi,22,16.956796802
28021,Claiborne County,Mississippi,22,9.14879043
29011,Barton County,Missouri,22,27.283198642
31005,Arthur County,Nebraska,22,34.449761158
37043,Clay County,North Carolina,22,1.0997645723
48011,Armstrong County,Texas,22,21.341758152
48013,Atascosa County,Texas,22,5.8302307533
48017,Bailey County,Texas,22,2.1972247016
48075,Childress County,Texas,22,18.94919694
48119,Delta County,Texas,22,1.9949149389
48125,Dickens County,Texas,22,5.9120779091
48159,Franklin County,Texas,22,20.786048842
48177,Gonzales County,Texas,22,17.477961238
48193,Hamilton County,Texas,22,12.225906697
48293,Limestone County,Texas,22,8.7023677936
48315,Marion County,Texas,22,2.8902453163
48329,Midland County,Texas,22,5.0975928316
48359,Oldham County,Texas,22,32.554410987
48435,Sutton County,Texas,22,5.7783434243
48501,Yoakum County,Texas,22,5.3652026649
51683,Manassas City,Virginia,22,1.8137628157
53031,Jefferson County,Washington,22,6.6965462818
06003,Alpine County,California,22.1,16.785138519
08011,Bent County,Colorado,22.1,5.1260799373
17169,Schuyler County,Illinois,22.1,6.2275330659
30075,Powder River County,Montana,22.1,20.780994379
32027,Pershing County,Nevada,22.1,4.4272233968
46043,Douglas County,South Dakota,22.1,2.1713165761
46129,Walworth County,South Dakota,22.1,9.5217881069
48047,Brooks County,Texas,22.1,10.154307822
48079,Cochran County,Texas,22.1,9.1953962761
48103,Crane County,Texas,22.1,3.9164449558
48105,Crockett County,Texas,22.1,2.2503017092
48183,Gregg County,Texas,22.1,9.9583359384
48263,Kent County,Texas,22.1,30.24463509
48269,King County,Texas,22.1,22.368420874
48271,Kinney County,Texas,22.1,25.618481576
48283,La Salle County,Texas,22.1,11.549046754
48305,Lynn County,Texas,22.1,15.085616873
48341,Moore County,Texas,22.1,8.5735856112
48377,Presidio County,Texas,22.1,17.843769203
48385,Real County,Texas,22.1,48.504429665
48411,San Saba County,Texas,22.1,13.728380773
48413,Schleicher County,Texas,22.1,2.9665759579
48445,Terry County,Texas,22.1,20.419272759
51530,Buena Vista City,Virginia,22.1,49.940216891
55051,Iron County,Wisconsin,22.1,3.0561181211
02105,Hoonah-Angoon Census Area,Alaska,22.2,31.130174061
06015,Del Norte County,California,22.2,14.445116634
08069,Larimer County,Colorado,22.2,4.7174614223
13099,Early County,Georgia,22.2,2.6057290723
13109,Evans County,Georgia,22.2,0
