County_FIPS,County,State,Obesity-2021-Percentage,Enrolled in Free or Reduced Lunch-2020-2021-Percent
48161,Freestone County,Texas,17.3,62.38297872340426
48173,Glasscock County,Texas,17.3,27.986348122866893
48239,Jackson County,Texas,17.3,52.33375959079284
48247,Jim Hogg County,Texas,17.3,87.04028021015762
48271,Kinney County,Texas,17.3,64.16184971098265
48377,Presidio County,Texas,17.3,94.67455621301775
48385,Real County,Texas,17.3,65.42553191489363
48387,Red River County,Texas,17.3,71.5587044534413
48399,Runnels County,Texas,17.3,58.57427716849452
49043,Summit County,Utah,17.3,18.465346534653467
51580,Covington City,Virginia,17.3,No Data
06049,Modoc County,California,17.4,61.38519924098672
06051,Mono County,California,17.4,46.331791143423665
06091,Sierra County,California,17.4,45.78005115089514
17017,Cass County,Illinois,17.4,No Data
17059,Gallatin County,Illinois,17.4,No Data
17065,Hamilton County,Illinois,17.4,No Data
21105,Hickman County,Kentucky,17.4,50.67204301075269
22127,Winn Parish,Louisiana,17.4,55.21936459909228
26083,Keweenaw County,Michigan,17.4,79.41176470588235
30069,Petroleum County,Montana,17.4,No Data
35033,Mora County,New Mexico,17.4,100
46021,Campbell County,South Dakota,17.4,26.05042016806723
47127,Moore County,Tennessee,17.4,No Data
48047,Brooks County,Texas,17.4,85.88317107093185
48065,Carson County,Texas,17.4,34.605597964376585
48131,Duval County,Texas,17.4,84.00778210116732
48133,Eastland County,Texas,17.4,59.838472834067545
48145,Falls County,Texas,17.4,79.2828685258964
48159,Franklin County,Texas,17.4,58.93098782138024
48211,Hemphill County,Texas,17.4,44.81185860889396
48235,Irion County,Texas,17.4,41.48606811145511
48283,La Salle County,Texas,17.4,78.26086956521739
48389,Reeves County,Texas,17.4,66.12903225806451
48437,Swisher County,Texas,17.4,72.86096256684492
51790,Staunton City,Virginia,17.4,No Data
06003,Alpine County,California,17.5,63.013698630136986
08091,Ouray County,Colorado,17.5,23.224568138195778
13183,Long County,Georgia,17.5,58.50270131206587
13307,Webster County,Georgia,17.5,90.64748201438849
17023,Clark County,Illinois,17.5,No Data
17039,De Witt County,Illinois,17.5,No Data
17069,Hardin County,Illinois,17.5,No Data
22107,Tensas Parish,Louisiana,17.5,84.6820809248555
25007,Dukes County,Massachusetts,17.5,No Data
37143,Perquimans County,North Carolina,17.5,46.98944754810677
37175,Transylvania County,North Carolina,17.5,46.835443037974684
48017,Bailey County,Texas,17.5,85.78908002991773
48101,Cottle County,Texas,17.5,66.12021857923497
48103,Crane County,Texas,17.5,54.959053685168335
48107,Crosby County,Texas,17.5,81.04838709677419
48111,Dallam County,Texas,17.5,56.213017751479285
48137,Edwards County,Texas,17.5,70.52631578947368
48195,Hansford County,Texas,17.5,55.93841642228738
