County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
48295,Lipscomb County,Texas,21.6,No Data
48357,Ochiltree County,Texas,21.6,88.7968047928108
06073,San Diego County,California,21.7,97.6572423615351
06105,Trinity County,California,21.7,89.9019364448858
08045,Garfield County,Colorado,21.7,82.7267569101078
08071,Las Animas County,Colorado,21.7,72.3806252147029
08113,San Miguel County,Colorado,21.7,78.6669970267592
13257,Stephens County,Georgia,21.7,65.0948327359618
13289,Twiggs County,Georgia,21.7,8.7883320867614
29089,Howard County,Missouri,21.7,10.905329524184799
30079,Prairie County,Montana,21.7,No Data
31113,Logan County,Nebraska,21.7,10.195530726257001
37143,Perquimans County,North Carolina,21.7,22.2145328719723
40025,Cimarron County,Oklahoma,21.7,0.2177700348432
41001,Baker County,Oregon,21.7,74.6040316774658
47095,Lake County,Tennessee,21.7,22.541042112776598
48033,Borden County,Texas,21.7,3.6450079239303
48137,Edwards County,Texas,21.7,66.80731364275671
48147,Fannin County,Texas,21.7,33.576355784869
48173,Glasscock County,Texas,21.7,0
48189,Hale County,Texas,21.7,65.0667240637107
48191,Hall County,Texas,21.7,31.5398230088496
48253,Jones County,Texas,21.7,41.982403498957396
48437,Swisher County,Texas,21.7,50.3371108879644
50007,Chittenden County,Vermont,21.7,85.7999203911527
51103,Lancaster County,Virginia,21.7,72.68064841102661
08083,Montezuma County,Colorado,21.8,67.1824828813494
13287,Turner County,Georgia,21.8,25.227626027093
13301,Warren County,Georgia,21.8,0.6327900287632
16013,Blaine County,Idaho,21.8,74.4520435069216
17139,Moultrie County,Illinois,21.8,64.34668869613111
27081,Lincoln County,Minnesota,21.8,39.0070921985816
37005,Alleghany County,North Carolina,21.8,36.9305657604702
37029,Camden County,North Carolina,21.8,31.5113471752776
37173,Swain County,North Carolina,21.8,97.35071190762909
48003,Andrews County,Texas,21.8,74.5996775926921
48093,Comanche County,Texas,21.8,No Data
48095,Concho County,Texas,21.8,66.2428095670602
48131,Duval County,Texas,21.8,No Data
48143,Erath County,Texas,21.8,70.4195557644847
48207,Haskell County,Texas,21.8,66.6728212703102
48267,Kimble County,Texas,21.8,66.2622491833878
48391,Refugio County,Texas,21.8,47.307521139296796
51141,Patrick County,Virginia,21.8,33.2235347569287
51580,Covington City,Virginia,21.8,100
