County_FIPS,County,State,Obesity-2019-Percentage,Commute ≥ 60 minutes-2017-2021-Percent
30107,Wheatland County,Montana,23.8,5.2
37109,Lincoln County,North Carolina,23.8,10.6
37125,Moore County,North Carolina,23.8,8.2
41023,Grant County,Oregon,23.8,4.9
46053,Gregory County,South Dakota,23.8,3.7
46055,Haakon County,South Dakota,23.8,13.3
48233,Hutchinson County,Texas,23.8,9
48287,Lee County,Texas,23.8,20
48375,Potter County,Texas,23.8,4.6
51820,Waynesboro City,Virginia,23.8,2.8
55011,Buffalo County,Wisconsin,23.8,5.6
06011,Colusa County,California,23.9,10.3
08039,Elbert County,Colorado,23.9,23
12086,Miami-Dade County,Florida,23.9,12.7
13317,Wilkes County,Georgia,23.9,13.2
17033,Crawford County,Illinois,23.9,3.3
17105,Livingston County,Illinois,23.9,6.9
35023,Hidalgo County,New Mexico,23.9,11.3
36087,Rockland County,New York,23.9,16.4
37121,Mitchell County,North Carolina,23.9,8.4
40063,Hughes County,Oklahoma,23.9,9.1
41055,Sherman County,Oregon,23.9,7.7
48063,Camp County,Texas,23.9,9.2
51045,Craig County,Virginia,23.9,5.7
55053,Jackson County,Wisconsin,23.9,5.9
06023,Humboldt County,California,24,4.7
06083,Santa Barbara County,California,24,4.9
08043,Fremont County,Colorado,24,12.9
12115,Sarasota County,Florida,24,4.5
13187,Lumpkin County,Georgia,24,10.9
13241,Rabun County,Georgia,24,11.8
17045,Edgar County,Illinois,24,5.6
17055,Franklin County,Illinois,24,6.1
17057,Fulton County,Illinois,24,7.2
17203,Woodford County,Illinois,24,3.2
23015,Lincoln County,Maine,24,6.6
27053,Hennepin County,Minnesota,24,3.6
29199,Scotland County,Missouri,24,8
37075,Graham County,North Carolina,24,13.6
37175,Transylvania County,North Carolina,24,5.1
38001,Adams County,North Dakota,24,5.6
47005,Benton County,Tennessee,24,8.6
48065,Carson County,Texas,24,3.8
48073,Cherokee County,Texas,24,9.2
51017,Bath County,Virginia,24,10.6
55045,Green County,Wisconsin,24,7.6
05099,Nevada County,Arkansas,24.1,13.4
08057,Jackson County,Colorado,24.1,10.7
13071,Colquitt County,Georgia,24.1,6.1
13131,Grady County,Georgia,24.1,7
13197,Marion County,Georgia,24.1,8.4
13221,Oglethorpe County,Georgia,24.1,7.7
13291,Union County,Georgia,24.1,7.5
16037,Custer County,Idaho,24.1,5.6
17181,Union County,Illinois,24.1,4.6
21103,Henry County,Kentucky,24.1,6.5
21167,Mercer County,Kentucky,24.1,9.1
29217,Vernon County,Missouri,24.1,6.5
36059,Nassau County,New York,24.1,22.8
37041,Chowan County,North Carolina,24.1,14.7
40059,Harper County,Oklahoma,24.1,2.7
40093,Major County,Oklahoma,24.1,7.2
40127,Pushmataha County,Oklahoma,24.1,12.6
46023,Charles Mix County,South Dakota,24.1,4.4
46081,Lawrence County,South Dakota,24.1,6
51115,Mathews County,Virginia,24.1,30.5
53029,Island County,Washington,24.1,11.8
06089,Shasta County,California,24.2,5.2
08081,Moffat County,Colorado,24.2,17.9
13133,Greene County,Georgia,24.2,8.9
13147,Hart County,Georgia,24.2,7.5
13199,Meriwether County,Georgia,24.2,14.2
13211,Morgan County,Georgia,24.2,10.6
17131,Mercer County,Illinois,24.2,7.7
19091,Humboldt County,Iowa,24.2,2.4
21077,Gallatin County,Kentucky,24.2,5.8
21105,Hickman County,Kentucky,24.2,5.1
22023,Cameron Parish,Louisiana,24.2,6.7
22075,Plaquemines Parish,Louisiana,24.2,12.6
26153,Schoolcraft County,Michigan,24.2,7.2
29221,Washington County,Missouri,24.2,21.3
30063,Missoula County,Montana,24.2,2.8
36047,Kings County,New York,24.2,28.3
46049,Faulk County,South Dakota,24.2,2.5
46065,Hughes County,South Dakota,24.2,1.8
47131,Obion County,Tennessee,24.2,4.5
48049,Brown County,Texas,24.2,3.5
02230,Skagway Municipality,Alaska,24.3,0.3
04005,Coconino County,Arizona,24.3,5.5
05039,Dallas County,Arkansas,24.3,8.3
12101,Pasco County,Florida,24.3,13.8
13043,Candler County,Georgia,24.3,7.9
13061,Clay County,Georgia,24.3,7.2
13235,Pulaski County,Georgia,24.3,3.1
13281,Towns County,Georgia,24.3,4.9
17071,Henderson County,Illinois,24.3,7.9
28153,Wayne County,Mississippi,24.3,13.9
29229,Wright County,Missouri,24.3,12.5
31075,Grant County,Nebraska,24.3,7.8
31083,Harlan County,Nebraska,24.3,10
37047,Columbus County,North Carolina,24.3,9.7
37077,Granville County,North Carolina,24.3,7.3
47041,Dekalb County,Tennessee,24.3,14.6
48175,Goliad County,Texas,24.3,11.1
53047,Okanogan County,Washington,24.3,4.6
55071,Manitowoc County,Wisconsin,24.3,3.5
05095,Monroe County,Arkansas,24.4,11
06021,Glenn County,California,24.4,4.5
08073,Lincoln County,Colorado,24.4,10.3
16071,Oneida County,Idaho,24.4,17.9
18159,Tipton County,Indiana,24.4,7
19117,Lucas County,Iowa,24.4,10.1
20063,Gove County,Kansas,24.4,3.8
20093,Kearny County,Kansas,24.4,5.1
21005,Anderson County,Kentucky,24.4,6.3
21091,Hancock County,Kentucky,24.4,4.9
26131,Ontonagon County,Michigan,24.4,12.2
27033,Cottonwood County,Minnesota,24.4,4.7
28119,Quitman County,Mississippi,24.4,9.4
29135,Moniteau County,Missouri,24.4,6.8
30057,Madison County,Montana,24.4,10.9
30099,Teton County,Montana,24.4,6.1
31009,Blaine County,Nebraska,24.4,4.8
36103,Suffolk County,New York,24.4,15.2
37193,Wilkes County,North Carolina,24.4,10.5
41015,Curry County,Oregon,24.4,3.2
42093,Montour County,Pennsylvania,24.4,2.5
46111,Sanborn County,South Dakota,24.4,1.4
48277,Lamar County,Texas,24.4,5.8
48473,Waller County,Texas,24.4,12.1
50003,Bennington County,Vermont,24.4,5.3
51047,Culpeper County,Virginia,24.4,24.7
51049,Cumberland County,Virginia,24.4,30.4
08009,Baca County,Colorado,24.5,1.4
13173,Lanier County,Georgia,24.5,2.9
18101,Martin County,Indiana,24.5,11.1
24027,Howard County,Maryland,24.5,11.6
29039,Cedar County,Missouri,24.5,11.7
29067,Douglas County,Missouri,24.5,9.2
29075,Gentry County,Missouri,24.5,10.9
31115,Loup County,Nebraska,24.5,15.5
37011,Avery County,North Carolina,24.5,4.1
38027,Eddy County,North Dakota,24.5,5.7
40075,Kiowa County,Oklahoma,24.5,8.6
41027,Hood River County,Oregon,24.5,8.6
42009,Bedford County,Pennsylvania,24.5,9.3
45013,Beaufort County,South Carolina,24.5,5.4
46077,Kingsbury County,South Dakota,24.5,3.7
47033,Crockett County,Tennessee,24.5,5.4
47175,Van Buren County,Tennessee,24.5,13
51107,Loudoun County,Virginia,24.5,16.3
51113,Madison County,Virginia,24.5,10.1
56023,Lincoln County,Wyoming,24.5,14.2
56043,Washakie County,Wyoming,24.5,3
02060,Bristol Bay Borough,Alaska,24.6,3.6
02261,Valdez-Cordova Census Area,Alaska,24.6,No Data
12045,Gulf County,Florida,24.6,9
13125,Glascock County,Georgia,24.6,14.6
17141,Ogle County,Illinois,24.6,7.3
18165,Vermillion County,Indiana,24.6,8.3
20127,Morris County,Kansas,24.6,6.7
22091,St. Helena Parish,Louisiana,24.6,26.2
22127,Winn Parish,Louisiana,24.6,14.5
26009,Antrim County,Michigan,24.6,9.4
27023,Chippewa County,Minnesota,24.6,4.9
28143,Tunica County,Mississippi,24.6,7
29093,Iron County,Missouri,24.6,10.5
31031,Cherry County,Nebraska,24.6,2.5
36081,Queens County,New York,24.6,30.6
37009,Ashe County,North Carolina,24.6,6.5
37017,Bladen County,North Carolina,24.6,5.9
37091,Hertford County,North Carolina,24.6,17.3
40035,Craig County,Oklahoma,24.6,8.1
42035,Clinton County,Pennsylvania,24.6,7.5
46091,Marshall County,South Dakota,24.6,5.2
47189,Wilson County,Tennessee,24.6,11
49017,Garfield County,Utah,24.6,3.6
01111,Randolph County,Alabama,24.7,13
05047,Franklin County,Arkansas,24.7,8.4
05105,Perry County,Arkansas,24.7,15.7
06069,San Benito County,California,24.7,24.3
13123,Gilmer County,Georgia,24.7,14.4
13293,Upson County,Georgia,24.7,8.8
16007,Bear Lake County,Idaho,24.7,16.4
17043,Dupage County,Illinois,24.7,11.8
27107,Norman County,Minnesota,24.7,12.4
29173,Ralls County,Missouri,24.7,5.2
30059,Meagher County,Montana,24.7,10.6
32033,White Pine County,Nevada,24.7,5.2
37189,Watauga County,North Carolina,24.7,4
45061,Lee County,South Carolina,24.7,8.1
46021,Campbell County,South Dakota,24.7,2.7
46087,Mccook County,South Dakota,24.7,7.2
48001,Anderson County,Texas,24.7,6.1
51075,Goochland County,Virginia,24.7,6.5
01005,Barbour County,Alabama,24.8,11.7
01041,Crenshaw County,Alabama,24.8,12.3
05009,Boone County,Arkansas,24.8,4.2
05081,Little River County,Arkansas,24.8,5.7
13117,Forsyth County,Georgia,24.8,14.9
15009,Maui County,Hawaii,24.8,5.1
20153,Rawlins County,Kansas,24.8,2.6
21197,Powell County,Kentucky,24.8,14.6
22111,Union Parish,Louisiana,24.8,8
26053,Gogebic County,Michigan,24.8,7
26085,Lake County,Michigan,24.8,11.9
28127,Simpson County,Mississippi,24.8,13.2
39149,Shelby County,Ohio,24.8,3.3
46063,Harding County,South Dakota,24.8,4
47133,Overton County,Tennessee,24.8,5.3
48419,Shelby County,Texas,24.8,8.4
51081,Greensville County,Virginia,24.8,5.9
01093,Marion County,Alabama,24.9,14.7
06017,El Dorado County,California,24.9,11.6
13001,Appling County,Georgia,24.9,7.4
13161,Jeff Davis County,Georgia,24.9,5.5
13205,Mitchell County,Georgia,24.9,5.9
17121,Marion County,Illinois,24.9,4
20039,Decatur County,Kansas,24.9,4.2
20081,Haskell County,Kansas,24.9,6.1
28053,Humphreys County,Mississippi,24.9,14.7
29145,Newton County,Missouri,24.9,5.1
30015,Chouteau County,Montana,24.9,5.1
30025,Fallon County,Montana,24.9,8
31073,Gosper County,Nebraska,24.9,7.8
37197,Yadkin County,North Carolina,24.9,6.7
44001,Bristol County,Rhode Island,24.9,7.9
51065,Fluvanna County,Virginia,24.9,10.1
51193,Westmoreland County,Virginia,24.9,22.1
06037,Los Angeles County,California,25,14.1
08063,Kit Carson County,Colorado,25,3.6
08119,Teller County,Colorado,25,17
12091,Okaloosa County,Florida,25,7.7
13309,Wheeler County,Georgia,25,12.6
19103,Johnson County,Iowa,25,3
21057,Cumberland County,Kentucky,25,5.8
23013,Knox County,Maine,25,4.8
26043,Dickinson County,Michigan,25,2.7
29035,Carter County,Missouri,25,9.7
30103,Treasure County,Montana,25,5.4
36123,Yates County,New York,25,6.1
45077,Pickens County,South Carolina,25,5.5
46107,Potter County,South Dakota,25,3.2
47139,Polk County,Tennessee,25,10.3
48055,Caldwell County,Texas,25,20.8
51600,Fairfax City,Virginia,25,9.3
53013,Columbia County,Washington,25,5.2
55097,Portage County,Wisconsin,25,4.2
56013,Fremont County,Wyoming,25,4.8
06063,Plumas County,California,25.1,8.9
09013,Tolland County,Connecticut,25.1,6
16015,Boise County,Idaho,25.1,17.9
16057,Latah County,Idaho,25.1,4.7
17157,Randolph County,Illinois,25.1,10.7
18161,Union County,Indiana,25.1,8
19087,Henry County,Iowa,25.1,4.1
20025,Clark County,Kansas,25.1,6.9
21225,Union County,Kentucky,25.1,11.6
30001,Beaverhead County,Montana,25.1,10.7
30007,Broadwater County,Montana,25.1,6.6
30065,Musselshell County,Montana,25.1,23
35028,Los Alamos County,New Mexico,25.1,0.8
37061,Duplin County,North Carolina,25.1,12.2
47187,Williamson County,Tennessee,25.1,5.9
48403,Sabine County,Texas,25.1,13
55019,Clark County,Wisconsin,25.1,6.5
01035,Conecuh County,Alabama,25.2,7.8
01113,Russell County,Alabama,25.2,4.3
02122,Kenai Peninsula Borough,Alaska,25.2,5.1
12109,St. Johns County,Florida,25.2,5.8
13075,Cook County,Georgia,25.2,7.6
13091,Dodge County,Georgia,25.2,13.8
16061,Lewis County,Idaho,25.2,10.1
18125,Pike County,Indiana,25.2,5.4
18153,Sullivan County,Indiana,25.2,6.5
21007,Ballard County,Kentucky,25.2,4.1
26039,Crawford County,Michigan,25.2,8.4
26047,Emmet County,Michigan,25.2,3.4
29059,Dallas County,Missouri,25.2,8.7
37099,Jackson County,North Carolina,25.2,5.1
38085,Sioux County,North Dakota,25.2,3.7
41049,Morrow County,Oregon,25.2,4.6
42067,Juniata County,Pennsylvania,25.2,21.3
46059,Hand County,South Dakota,25.2,1.5
47035,Cumberland County,Tennessee,25.2,6.6
48291,Liberty County,Texas,25.2,25.1
49025,Kane County,Utah,25.2,1.6
51077,Grayson County,Virginia,25.2,5.8
51083,Halifax County,Virginia,25.2,8
51145,Powhatan County,Virginia,25.2,8.3
55081,Monroe County,Wisconsin,25.2,3.3
56033,Sheridan County,Wyoming,25.2,3.7
02198,Prince of Wales-Hyder Census Area,Alaska,25.3,7.6
06087,Santa Cruz County,California,25.3,11.9
11001,District Of Columbia,District of Columbia,25.3,8.7
13017,Ben Hill County,Georgia,25.3,1.4
13171,Lamar County,Georgia,25.3,20.3
17025,Clay County,Illinois,25.3,9.6
17137,Morgan County,Illinois,25.3,4.3
18043,Floyd County,Indiana,25.3,3
19037,Chickasaw County,Iowa,25.3,6.6
20179,Sheridan County,Kansas,25.3,4.9
20193,Thomas County,Kansas,25.3,1.9
22121,West Baton Rouge Parish,Louisiana,25.3,4.4
26011,Arenac County,Michigan,25.3,12.2
26089,Leelanau County,Michigan,25.3,4.9
29057,Dade County,Missouri,25.3,9.7
29171,Putnam County,Missouri,25.3,14.7
38029,Emmons County,North Dakota,25.3,7.2
38033,Golden Valley County,North Dakota,25.3,10.6
38073,Ransom County,North Dakota,25.3,6.4
42023,Cameron County,Pennsylvania,25.3,5.7
46051,Grant County,South Dakota,25.3,3.4
47173,Union County,Tennessee,25.3,11.2
51021,Bland County,Virginia,25.3,7
55041,Forest County,Wisconsin,25.3,8.6
02016,Aleutians West Census Area,Alaska,25.4,0.1
04025,Yavapai County,Arizona,25.4,7.2
05101,Newton County,Arkansas,25.4,8.4
13069,Coffee County,Georgia,25.4,3.4
16039,Elmore County,Idaho,25.4,8
17063,Grundy County,Illinois,25.4,11.5
18129,Posey County,Indiana,25.4,3.2
18175,Washington County,Indiana,25.4,10.6
19123,Mahaska County,Iowa,25.4,4
20131,Nemaha County,Kansas,25.4,3.6
21141,Logan County,Kentucky,25.4,7.1
25007,Dukes County,Massachusetts,25.4,2.5
28041,Greene County,Mississippi,25.4,20.1
29149,Oregon County,Missouri,25.4,6.1
30009,Carbon County,Montana,25.4,11.6
36041,Hamilton County,New York,25.4,4.8
37015,Bertie County,North Carolina,25.4,9.5
37071,Gaston County,North Carolina,25.4,6.8
37159,Rowan County,North Carolina,25.4,8.3
40055,Greer County,Oklahoma,25.4,4.4
40061,Haskell County,Oklahoma,25.4,10.2
40065,Jackson County,Oklahoma,25.4,3.1
51685,Manassas Park City,Virginia,25.4,25.5
53057,Skagit County,Washington,25.4,10
53075,Whitman County,Washington,25.4,2.4
02100,Haines Borough,Alaska,25.5,6.4
02188,Northwest Arctic Borough,Alaska,25.5,0.5
02220,Sitka City and Borough,Alaska,25.5,1.2
04012,La Paz County,Arizona,25.5,1.9
05049,Fulton County,Arkansas,25.5,11.2
06111,Ventura County,California,25.5,8.3
12119,Sumter County,Florida,25.5,12.2
13005,Bacon County,Georgia,25.5,6.4
13029,Bryan County,Georgia,25.5,6.7
13251,Screven County,Georgia,25.5,20.7
17027,Clinton County,Illinois,25.5,8.8
17103,Lee County,Illinois,25.5,9.1
17117,Macoupin County,Illinois,25.5,8.9
18009,Blackford County,Indiana,25.5,4.9
18021,Clay County,Indiana,25.5,9.1
20033,Comanche County,Kansas,25.5,2.2
22037,East Feliciana Parish,Louisiana,25.5,15.4
29087,Holt County,Missouri,25.5,4.3
30101,Toole County,Montana,25.5,6.3
41003,Benton County,Oregon,25.5,5.1
42039,Crawford County,Pennsylvania,25.5,6.7
46037,Day County,South Dakota,25.5,3.5
53019,Ferry County,Washington,25.5,12.7
12061,Indian River County,Florida,25.6,6
13295,Walker County,Georgia,25.6,6.3
16025,Camas County,Idaho,25.6,23.2
17001,Adams County,Illinois,25.6,2.5
17077,Jackson County,Illinois,25.6,3.9
17161,Rock Island County,Illinois,25.6,3.6
18025,Crawford County,Indiana,25.6,19.8
18171,Warren County,Indiana,25.6,8.8
19053,Decatur County,Iowa,25.6,12.8
20207,Woodson County,Kansas,25.6,4.3
25009,Essex County,Massachusetts,25.6,13.8
26097,Mackinac County,Michigan,25.6,5.6
27127,Redwood County,Minnesota,25.6,4.2
28019,Choctaw County,Mississippi,25.6,14.9
31045,Dawes County,Nebraska,25.6,6.5
37087,Haywood County,North Carolina,25.6,3.6
37089,Henderson County,North Carolina,25.6,4
37135,Orange County,North Carolina,25.6,4.4
40003,Alfalfa County,Oklahoma,25.6,6.3
40103,Noble County,Oklahoma,25.6,4.4
41013,Crook County,Oregon,25.6,10
47161,Stewart County,Tennessee,25.6,13.6
51095,James City County,Virginia,25.6,8.6
51119,Middlesex County,Virginia,25.6,15.7
51159,Richmond County,Virginia,25.6,13.7
51163,Rockbridge County,Virginia,25.6,8.8
51520,Bristol City,Virginia,25.6,2.5
51735,Poquoson City,Virginia,25.6,6.7
56017,Hot Springs County,Wyoming,25.6,7.7
06005,Amador County,California,25.7,16.5
13137,Habersham County,Georgia,25.7,11.5
13219,Oconee County,Georgia,25.7,8.9
15003,Honolulu County,Hawaii,25.7,9.9
15007,Kauai County,Hawaii,25.7,3.6
17083,Jersey County,Illinois,25.7,12.3
17093,Kendall County,Illinois,25.7,16.9
18149,Starke County,Indiana,25.7,13.2
18181,White County,Indiana,25.7,6
19025,Calhoun County,Iowa,25.7,3.9
21211,Shelby County,Kentucky,25.7,5.6
26061,Houghton County,Michigan,25.7,3.1
27167,Wilkin County,Minnesota,25.7,2.9
31037,Colfax County,Nebraska,25.7,4
31171,Thomas County,Nebraska,25.7,1.1
35019,Guadalupe County,New Mexico,25.7,6.4
35035,Otero County,New Mexico,25.7,7.2
37167,Stanly County,North Carolina,25.7,11.5
38083,Sheridan County,North Dakota,25.7,12.7
46019,Butte County,South Dakota,25.7,6.6
55043,Grant County,Wisconsin,25.7,4.6
01057,Fayette County,Alabama,25.8,17.9
17029,Coles County,Illinois,25.8,4
19009,Audubon County,Iowa,25.8,5.9
20195,Trego County,Kansas,25.8,4.5
21065,Estill County,Kentucky,25.8,19.4
26029,Charlevoix County,Michigan,25.8,3.8
28005,Amite County,Mississippi,25.8,26.1
30051,Liberty County,Montana,25.8,1.4
31165,Sioux County,Nebraska,25.8,5.3
35001,Bernalillo County,New Mexico,25.8,4.4
37165,Scotland County,North Carolina,25.8,6.5
38041,Hettinger County,North Dakota,25.8,3.8
42071,Lancaster County,Pennsylvania,25.8,5.7
46015,Brule County,South Dakota,25.8,3.5
46033,Custer County,South Dakota,25.8,11.1
46123,Tripp County,South Dakota,25.8,3.2
47047,Fayette County,Tennessee,25.8,10.7
47143,Rhea County,Tennessee,25.8,11.7
48135,Ector County,Texas,25.8,10.1
53051,Pend Oreille County,Washington,25.8,25.7
56029,Park County,Wyoming,25.8,3.7
56031,Platte County,Wyoming,25.8,7.4
01075,Lamar County,Alabama,25.9,7.4
05015,Carroll County,Arkansas,25.9,9.7
05029,Conway County,Arkansas,25.9,9.7
13015,Bartow County,Georgia,25.9,12.4
13085,Dawson County,Georgia,25.9,12
13157,Jackson County,Georgia,25.9,11.5
18007,Benton County,Indiana,25.9,6.8
19135,Monroe County,Iowa,25.9,6.6
20105,Lincoln County,Kansas,25.9,2.1
20143,Ottawa County,Kansas,25.9,6.7
21215,Spencer County,Kentucky,25.9,8.8
27165,Watonwan County,Minnesota,25.9,5.8
28037,Franklin County,Mississippi,25.9,13
29203,Shannon County,Missouri,25.9,14.1
37003,Alexander County,North Carolina,25.9,6.4
37093,Hoke County,North Carolina,25.9,7.9
37127,Nash County,North Carolina,25.9,6
37141,Pender County,North Carolina,25.9,7.8
38091,Steele County,North Dakota,25.9,3.9
40141,Tillman County,Oklahoma,25.9,3.3
47043,Dickson County,Tennessee,25.9,18.3
47135,Perry County,Tennessee,25.9,10.8
48015,Austin County,Texas,25.9,10.9
55003,Ashland County,Wisconsin,25.9,5.4
55047,Green Lake County,Wisconsin,25.9,7.4
02110,Juneau City and Borough,Alaska,26,1.8
05147,Woodruff County,Arkansas,26,5.9
12009,Brevard County,Florida,26,6.4
12071,Lee County,Florida,26,7.5
12117,Seminole County,Florida,26,7.4
17011,Bureau County,Illinois,26,6.8
17015,Carroll County,Illinois,26,6.6
17067,Hancock County,Illinois,26,7.3
18137,Ripley County,Indiana,26,13.3
18151,Steuben County,Indiana,26,6.9
21003,Allen County,Kentucky,26,6.3
21017,Bourbon County,Kentucky,26,4.2
21189,Owsley County,Kentucky,26,20.6
26027,Cass County,Michigan,26,4.8
26161,Washtenaw County,Michigan,26,5
32021,Mineral County,Nevada,26,4.3
38019,Cavalier County,North Dakota,26,3.6
38021,Dickey County,North Dakota,26,6.5
40105,Nowata County,Oklahoma,26,11.9
46039,Deuel County,South Dakota,26,4.3
48085,Collin County,Texas,26,9.3
48231,Hunt County,Texas,26,19.4
49027,Millard County,Utah,26,4.8
51125,Nelson County,Virginia,26,8
51610,Falls Church City,Virginia,26,5.7
51630,Fredericksburg City,Virginia,26,16
55023,Crawford County,Wisconsin,26,9.5
56001,Albany County,Wyoming,26,3.3
01131,Wilcox County,Alabama,26.1,11.1
05005,Baxter County,Arkansas,26.1,4.3
12073,Leon County,Florida,26.1,2.5
13027,Brooks County,Georgia,26.1,6.9
13127,Glynn County,Georgia,26.1,5.1
18105,Monroe County,Indiana,26.1,5.6
19159,Ringgold County,Iowa,26.1,6.6
26055,Grand Traverse County,Michigan,26.1,3.4
26135,Oscoda County,Michigan,26.1,4.5
29151,Osage County,Missouri,26.1,6
33009,Grafton County,New Hampshire,26.1,6.2
39005,Ashland County,Ohio,26.1,7.6
45039,Fairfield County,South Carolina,26.1,6.1
48181,Grayson County,Texas,26.1,9.6
51147,Prince Edward County,Virginia,26.1,8
53071,Walla Walla County,Washington,26.1,4.3
12081,Manatee County,Florida,26.2,6.3
15001,Hawaii County,Hawaii,26.2,9.9
18115,Ohio County,Indiana,26.2,14.9
20079,Harvey County,Kansas,26.2,3.1
20109,Logan County,Kansas,26.2,5.6
20171,Scott County,Kansas,26.2,2.4
20185,Stafford County,Kansas,26.2,6
21051,Clay County,Kentucky,26.2,14.9
27017,Carlton County,Minnesota,26.2,4.6
28045,Hancock County,Mississippi,26.2,15.2
29073,Gasconade County,Missouri,26.2,16.5
37119,Mecklenburg County,North Carolina,26.2,5.7
42029,Chester County,Pennsylvania,26.2,9.3
44005,Newport County,Rhode Island,26.2,6.2
45005,Allendale County,South Carolina,26.2,22.8
48297,Live Oak County,Texas,26.2,12.5
51009,Amherst County,Virginia,26.2,10.8
05067,Jackson County,Arkansas,26.3,4
06097,Sonoma County,California,26.3,9.7
06101,Sutter County,California,26.3,12.6
16001,Ada County,Idaho,26.3,2.6
17195,Whiteside County,Illinois,26.3,6
25023,Plymouth County,Massachusetts,26.3,18.3
27063,Jackson County,Minnesota,26.3,4.3
29213,Taney County,Missouri,26.3,5.8
30061,Mineral County,Montana,26.3,11.3
35027,Lincoln County,New Mexico,26.3,5
39063,Hancock County,Ohio,26.3,3.3
39127,Perry County,Ohio,26.3,16.7
41051,Multnomah County,Oregon,26.3,6.3
48467,Van Zandt County,Texas,26.3,23.4
49055,Wayne County,Utah,26.3,7.7
51057,Essex County,Virginia,26.3,26.4
54031,Hardy County,West Virginia,26.3,10.8
55015,Calumet County,Wisconsin,26.3,4.1
55123,Vernon County,Wisconsin,26.3,6.3
06045,Mendocino County,California,26.4,7.7
13165,Jenkins County,Georgia,26.4,11
13179,Liberty County,Georgia,26.4,8.1
13271,Telfair County,Georgia,26.4,7.7
13297,Walton County,Georgia,26.4,17.8
16035,Clearwater County,Idaho,26.4,17.1
17031,Cook County,Illinois,26.4,14
17075,Iroquois County,Illinois,26.4,8.4
22031,De Soto Parish,Louisiana,26.4,6.6
27079,Le Sueur County,Minnesota,26.4,9.1
29053,Cooper County,Missouri,26.4,8.2
30049,Lewis And Clark County,Montana,26.4,3.6
40107,Okfuskee County,Oklahoma,26.4,12.3
42127,Wayne County,Pennsylvania,26.4,10.4
46017,Buffalo County,South Dakota,26.4,0
48309,Mclennan County,Texas,26.4,4
49051,Wasatch County,Utah,26.4,5
51137,Orange County,Virginia,26.4,21.9
54015,Clay County,West Virginia,26.4,21.2
01027,Clay County,Alabama,26.5,13.7
12011,Broward County,Florida,26.5,8.7
13081,Crisp County,Georgia,26.5,7.2
16063,Lincoln County,Idaho,26.5,21.7
17073,Henry County,Illinois,26.5,5.2
21131,Leslie County,Kentucky,26.5,23.4
29009,Barry County,Missouri,26.5,8.3
30081,Ravalli County,Montana,26.5,9.5
32510,Carson City,Nevada,26.5,6.5
37037,Chatham County,North Carolina,26.5,10.1
38011,Bowman County,North Dakota,26.5,5.5
40053,Grant County,Oklahoma,26.5,6.1
47171,Unicoi County,Tennessee,26.5,6.8
48257,Kaufman County,Texas,26.5,20.3
48265,Kerr County,Texas,26.5,6.5
49029,Morgan County,Utah,26.5,8.7
50023,Washington County,Vermont,26.5,5.5
12065,Jefferson County,Florida,26.6,3.1
13169,Jones County,Georgia,26.6,9.2
18045,Fountain County,Indiana,26.6,4.4
19175,Union County,Iowa,26.6,3.7
20043,Doniphan County,Kansas,26.6,7.4
20045,Douglas County,Kansas,26.6,3.1
21021,Boyle County,Kentucky,26.6,8.1
21139,Livingston County,Kentucky,26.6,4.2
26019,Benzie County,Michigan,26.6,3.8
26139,Ottawa County,Michigan,26.6,2.9
28025,Clay County,Mississippi,26.6,3.9
28065,Jefferson Davis County,Mississippi,26.6,20.7
28093,Marshall County,Mississippi,26.6,4.7
29005,Atchison County,Missouri,26.6,6.1
29017,Bollinger County,Missouri,26.6,12.3
29029,Camden County,Missouri,26.6,6.3
35011,De Baca County,New Mexico,26.6,5
35037,Quay County,New Mexico,26.6,7.1
38009,Bottineau County,North Dakota,26.6,6.1
40099,Murray County,Oklahoma,26.6,4.9
47015,Cannon County,Tennessee,26.6,12.3
47085,Humphreys County,Tennessee,26.6,19.6
47115,Marion County,Tennessee,26.6,10.8
51011,Appomattox County,Virginia,26.6,2.7
51109,Louisa County,Virginia,26.6,12.3
01019,Cherokee County,Alabama,26.7,10.8
12087,Monroe County,Florida,26.7,4.3
13315,Wilcox County,Georgia,26.7,13.3
16041,Franklin County,Idaho,26.7,7.9
18133,Putnam County,Indiana,26.7,10.9
20183,Smith County,Kansas,26.7,2.4
21075,Fulton County,Kentucky,26.7,3.6
27019,Carver County,Minnesota,26.7,5.5
27129,Renville County,Minnesota,26.7,5.2
29153,Ozark County,Missouri,26.7,9.9
29169,Pulaski County,Missouri,26.7,3.1
29205,Shelby County,Missouri,26.7,5.1
39111,Monroe County,Ohio,26.7,17.7
40149,Washita County,Oklahoma,26.7,10.6
41029,Jackson County,Oregon,26.7,3.4
41031,Jefferson County,Oregon,26.7,12.9
42099,Perry County,Pennsylvania,26.7,9.3
48225,Houston County,Texas,26.7,11.6
48441,Taylor County,Texas,26.7,3.7
01037,Coosa County,Alabama,26.8,14.8
05117,Prairie County,Arkansas,26.8,8.4
06009,Calaveras County,California,26.8,22.4
12037,Franklin County,Florida,26.8,5.8
16067,Minidoka County,Idaho,26.8,1.6
18029,Dearborn County,Indiana,26.8,8.6
19173,Taylor County,Iowa,26.8,5.4
20089,Jewell County,Kansas,26.8,2.3
21191,Pendleton County,Kentucky,26.8,16
28155,Webster County,Mississippi,26.8,8.7
29113,Lincoln County,Missouri,26.8,13.7
