County_FIPS,County,State,Obesity-2019-Percentage,Commute ≥ 60 minutes-2017-2021-Percent
48173,Glasscock County,Texas,21.7,15.3
48189,Hale County,Texas,21.7,5.9
48191,Hall County,Texas,21.7,5.3
48253,Jones County,Texas,21.7,5.5
48437,Swisher County,Texas,21.7,7.1
50007,Chittenden County,Vermont,21.7,3.9
51103,Lancaster County,Virginia,21.7,15.4
08083,Montezuma County,Colorado,21.8,8
13287,Turner County,Georgia,21.8,7.3
13301,Warren County,Georgia,21.8,14
16013,Blaine County,Idaho,21.8,3.2
17139,Moultrie County,Illinois,21.8,4.9
27081,Lincoln County,Minnesota,21.8,4.2
37005,Alleghany County,North Carolina,21.8,10.1
37029,Camden County,North Carolina,21.8,13.4
37173,Swain County,North Carolina,21.8,4.3
48003,Andrews County,Texas,21.8,12.6
48093,Comanche County,Texas,21.8,5.7
48095,Concho County,Texas,21.8,11.3
48131,Duval County,Texas,21.8,19.4
48143,Erath County,Texas,21.8,5.3
48207,Haskell County,Texas,21.8,7.3
48267,Kimble County,Texas,21.8,7.5
48391,Refugio County,Texas,21.8,11.4
51141,Patrick County,Virginia,21.8,12
51580,Covington City,Virginia,21.8,2.8
08047,Gilpin County,Colorado,21.9,22
08121,Washington County,Colorado,21.9,7.2
13249,Schley County,Georgia,21.9,10.1
16009,Benewah County,Idaho,21.9,10.5
17153,Pulaski County,Illinois,21.9,6.2
17185,Wabash County,Illinois,21.9,4.5
26083,Keweenaw County,Michigan,21.9,4.4
47169,Trousdale County,Tennessee,21.9,25.4
48023,Baylor County,Texas,21.9,2.9
48035,Bosque County,Texas,21.9,11.5
48043,Brewster County,Texas,21.9,4.3
48045,Briscoe County,Texas,21.9,12.9
48087,Collingsworth County,Texas,21.9,1
48107,Crosby County,Texas,21.9,3.7
48111,Dallam County,Texas,21.9,2.3
48115,Dawson County,Texas,21.9,10.8
48117,Deaf Smith County,Texas,21.9,3.9
48237,Jack County,Texas,21.9,13
48289,Leon County,Texas,21.9,17.1
48317,Martin County,Texas,21.9,1.4
48343,Morris County,Texas,21.9,7.1
48383,Reagan County,Texas,21.9,13.9
48421,Sherman County,Texas,21.9,7.9
48461,Upton County,Texas,21.9,18.5
48505,Zapata County,Texas,21.9,20
51063,Floyd County,Virginia,21.9,17.2
55029,Door County,Wisconsin,21.9,2.9
06085,Santa Clara County,California,22,9.7
06091,Sierra County,California,22,13
08007,Archuleta County,Colorado,22,7.7
08023,Costilla County,Colorado,22,5.6
08105,Rio Grande County,Colorado,22,7
09001,Fairfield County,Connecticut,22,15.7
13207,Monroe County,Georgia,22,8.3
16017,Bonner County,Idaho,22,8.2
20199,Wallace County,Kansas,22,3.7
21171,Monroe County,Kentucky,22,11.5
25025,Suffolk County,Massachusetts,22,12.1
28009,Benton County,Mississippi,22,20.4
28021,Claiborne County,Mississippi,22,3.6
29011,Barton County,Missouri,22,6.6
31005,Arthur County,Nebraska,22,19.7
37043,Clay County,North Carolina,22,6.3
48011,Armstrong County,Texas,22,2.8
48013,Atascosa County,Texas,22,10.2
48017,Bailey County,Texas,22,7.6
48075,Childress County,Texas,22,9.7
48119,Delta County,Texas,22,12.6
48125,Dickens County,Texas,22,20.7
48159,Franklin County,Texas,22,10.8
48177,Gonzales County,Texas,22,14
48193,Hamilton County,Texas,22,10.9
48293,Limestone County,Texas,22,11.4
48315,Marion County,Texas,22,11.6
48329,Midland County,Texas,22,4.9
48359,Oldham County,Texas,22,9.2
48435,Sutton County,Texas,22,9.3
48501,Yoakum County,Texas,22,10.6
51683,Manassas City,Virginia,22,20.7
53031,Jefferson County,Washington,22,9.1
06003,Alpine County,California,22.1,14.7
08011,Bent County,Colorado,22.1,5.6
17169,Schuyler County,Illinois,22.1,6.2
30075,Powder River County,Montana,22.1,8.8
32027,Pershing County,Nevada,22.1,14.7
46043,Douglas County,South Dakota,22.1,2.2
46129,Walworth County,South Dakota,22.1,4.4
48047,Brooks County,Texas,22.1,2.6
48079,Cochran County,Texas,22.1,9.6
48103,Crane County,Texas,22.1,18.2
48105,Crockett County,Texas,22.1,23.9
48183,Gregg County,Texas,22.1,6
48263,Kent County,Texas,22.1,6.6
48269,King County,Texas,22.1,5.4
48271,Kinney County,Texas,22.1,0.1
48283,La Salle County,Texas,22.1,13.7
48305,Lynn County,Texas,22.1,4.2
48341,Moore County,Texas,22.1,3.9
48377,Presidio County,Texas,22.1,11.6
48385,Real County,Texas,22.1,2
48411,San Saba County,Texas,22.1,16.6
48413,Schleicher County,Texas,22.1,15.3
48445,Terry County,Texas,22.1,5.6
51530,Buena Vista City,Virginia,22.1,6.4
55051,Iron County,Wisconsin,22.1,6.8
02105,Hoonah-Angoon Census Area,Alaska,22.2,3.1
06015,Del Norte County,California,22.2,4
08069,Larimer County,Colorado,22.2,7.1
13099,Early County,Georgia,22.2,11.3
13109,Evans County,Georgia,22.2,14.1
13303,Washington County,Georgia,22.2,7.8
17007,Boone County,Illinois,22.2,11.1
17017,Cass County,Illinois,22.2,4.6
17047,Edwards County,Illinois,22.2,8.1
17059,Gallatin County,Illinois,22.2,12.4
17123,Marshall County,Illinois,22.2,8.3
17171,Scott County,Illinois,22.2,8.9
18013,Brown County,Indiana,22.2,15.1
18139,Rush County,Indiana,22.2,8.7
20071,Greeley County,Kansas,22.2,2.1
22049,Jackson Parish,Louisiana,22.2,9.4
22081,Red River Parish,Louisiana,22.2,12.3
37033,Caswell County,North Carolina,22.2,9.3
37115,Madison County,North Carolina,22.2,11.5
42063,Indiana County,Pennsylvania,22.2,9.1
46069,Hyde County,South Dakota,22.2,2.6
46073,Jerauld County,South Dakota,22.2,4.8
48059,Callahan County,Texas,22.2,8.9
48155,Foard County,Texas,22.2,6.4
48161,Freestone County,Texas,22.2,11.3
48163,Frio County,Texas,22.2,8
48169,Garza County,Texas,22.2,10.3
48203,Harrison County,Texas,22.2,5.1
48205,Hartley County,Texas,22.2,3.2
48243,Jeff Davis County,Texas,22.2,0.4
48259,Kendall County,Texas,22.2,11.7
48275,Knox County,Texas,22.2,9.6
48285,Lavaca County,Texas,22.2,13.2
48319,Mason County,Texas,22.2,7.6
48335,Mitchell County,Texas,22.2,4.9
48345,Motley County,Texas,22.2,8.2
48353,Nolan County,Texas,22.2,4.3
48425,Somervell County,Texas,22.2,17.5
48489,Willacy County,Texas,22.2,2.2
48507,Zavala County,Texas,22.2,4.5
51073,Gloucester County,Virginia,22.2,17.4
51678,Lexington City,Virginia,22.2,2.1
08079,Mineral County,Colorado,22.3,4.4
08091,Ouray County,Colorado,22.3,12.7
13035,Butts County,Georgia,22.3,18
13141,Hancock County,Georgia,22.3,19
17039,De Witt County,Illinois,22.3,2.7
17051,Fayette County,Illinois,22.3,5.3
20187,Stanton County,Kansas,22.3,0
30067,Park County,Montana,22.3,7.9
32011,Eureka County,Nevada,22.3,13.7
37021,Buncombe County,North Carolina,22.3,2.8
37145,Person County,North Carolina,22.3,13.3
41069,Wheeler County,Oregon,22.3,9.5
46075,Jones County,South Dakota,22.3,5.3
46079,Lake County,South Dakota,22.3,4.4
48069,Castro County,Texas,22.3,4.4
48081,Coke County,Texas,22.3,13.6
48109,Culberson County,Texas,22.3,17.1
48133,Eastland County,Texas,22.3,9.2
48249,Jim Wells County,Texas,22.3,10.6
48323,Maverick County,Texas,22.3,10
48399,Runnels County,Texas,22.3,8
48431,Sterling County,Texas,22.3,16
48447,Throckmorton County,Texas,22.3,5.6
48459,Upshur County,Texas,22.3,6.9
48483,Wheeler County,Texas,22.3,8
48503,Young County,Texas,22.3,7.1
51690,Martinsville City,Virginia,22.3,5.6
53009,Clallam County,Washington,22.3,6.1
55037,Florence County,Wisconsin,22.3,5.7
05127,Scott County,Arkansas,22.4,17.8
08003,Alamosa County,Colorado,22.4,3.7
08111,San Juan County,Colorado,22.4,3.8
13007,Baker County,Georgia,22.4,7.6
13201,Miller County,Georgia,22.4,7.8
17013,Calhoun County,Illinois,22.4,33.6
17023,Clark County,Illinois,22.4,8
17107,Logan County,Illinois,22.4,4.6
17147,Piatt County,Illinois,22.4,3.7
22077,Pointe Coupee Parish,Louisiana,22.4,11.4
26001,Alcona County,Michigan,22.4,7.2
26013,Baraga County,Michigan,22.4,6
26095,Luce County,Michigan,22.4,4.2
27103,Nicollet County,Minnesota,22.4,4.1
36079,Putnam County,New York,22.4,22.9
48051,Burleson County,Texas,22.4,7.9
48123,Dewitt County,Texas,22.4,9.2
48127,Dimmit County,Texas,22.4,10.6
48129,Donley County,Texas,22.4,11.7
48153,Floyd County,Texas,22.4,12.2
48235,Irion County,Texas,22.4,1.8
48281,Lampasas County,Texas,22.4,11.7
48307,Mcculloch County,Texas,22.4,3.6
48311,Mcmullen County,Texas,22.4,15.9
48327,Menard County,Texas,22.4,4.4
48369,Parmer County,Texas,22.4,3.1
48387,Red River County,Texas,22.4,7.4
48443,Terrell County,Texas,22.4,25.6
48495,Winkler County,Texas,22.4,17.8
49033,Rich County,Utah,22.4,9.1
55063,La Crosse County,Wisconsin,22.4,3.2
02158,Kusilvak Census Area,Alaska,22.5,0.5
06049,Modoc County,California,22.5,6.9
13105,Elbert County,Georgia,22.5,6
13237,Putnam County,Georgia,22.5,14.5
13283,Treutlen County,Georgia,22.5,17.9
17129,Menard County,Illinois,22.5,4.5
17151,Pope County,Illinois,22.5,17.2
17155,Putnam County,Illinois,22.5,8.2
20075,Hamilton County,Kansas,22.5,1.5
20129,Morton County,Kansas,22.5,6.4
22025,Catahoula Parish,Louisiana,22.5,14.9
25001,Barnstable County,Massachusetts,22.5,9.5
27125,Red Lake County,Minnesota,22.5,7.3
31007,Banner County,Nebraska,22.5,5.6
32017,Lincoln County,Nevada,22.5,11.5
35021,Harding County,New Mexico,22.5,16.1
35059,Union County,New Mexico,22.5,4.7
48211,Hemphill County,Texas,22.5,6.8
48217,Hill County,Texas,22.5,12.4
48229,Hudspeth County,Texas,22.5,1.2
48393,Roberts County,Texas,22.5,1.3
48417,Shackelford County,Texas,22.5,4.8
53033,King County,Washington,22.5,9.6
55129,Washburn County,Wisconsin,22.5,6.9
06013,Contra Costa County,California,22.6,24.5
08053,Hinsdale County,Colorado,22.6,0.6
13209,Montgomery County,Georgia,22.6,9.4
13225,Peach County,Georgia,22.6,4.1
13267,Tattnall County,Georgia,22.6,9.8
13273,Terrell County,Georgia,22.6,5.4
17087,Johnson County,Illinois,22.6,4.8
17101,Lawrence County,Illinois,22.6,8.9
17159,Richland County,Illinois,22.6,6.8
